WormBase_ID,Chr,Gene,Tajima's D,Normalized Pi,Fay and Wu's H
WBGene00001734,III,grl-25,-1.5328,0.0001,0.1366
WBGene00001735,IV,grl-26,-0.8400,0.0000,0.0081
WBGene00001736,V,grl-27,-1.5711,0.0012,-5.7815
WBGene00001737,V,grl-28,-1.2469,0.0039,-7.5106
WBGene00001738,V,grl-29,-2.1424,0.0004,-11.5839
WBGene00001739,V,grl-30,-1.9626,0.0005,-7.6824
WBGene00001740,III,gro-1,-0.9795,0.0004,-1.5674
WBGene00001743,III,grp-1,-1.0374,0.0001,0.1178
WBGene00001744,III,gars-1,-0.6958,0.0001,-1.6944
WBGene00001745,I,gsa-1,NA,0.0000,0.0000
WBGene00001746,I,gsk-3,0.1568,0.0003,0.2606
WBGene00001747,V,gsp-1,NA,0.0000,0.0000
WBGene00001748,III,gsp-2,-0.8398,0.0000,0.0082
WBGene00001749,III,gst-1,NA,0.0000,0.0000
WBGene00001750,IV,gst-2,-1.3934,0.0001,-3.9041
WBGene00001751,IV,gst-3,-0.6278,0.0008,-6.5608
WBGene00001752,IV,gst-4,-1.3066,0.0002,0.1028
WBGene00001753,II,gst-5,NA,0.0000,0.0000
WBGene00001754,II,gst-6,-1.1040,0.0003,-1.5860
WBGene00001755,II,gst-7,-0.5278,0.0005,0.2543
WBGene00001756,II,gst-8,-0.6250,0.0011,-3.1560
WBGene00001757,II,gst-9,-1.6535,0.0003,-1.7895
WBGene00001758,V,gst-10,-1.6593,0.0001,-1.9076
WBGene00001759,X,gst-11,-1.4050,0.0003,-1.5119
WBGene00001760,II,gst-12,-1.0989,0.0016,0.9398
WBGene00001761,II,gst-13,-1.3499,0.0001,-3.7727
WBGene00001762,II,gst-14,-0.9287,0.0023,1.2595
WBGene00001763,II,gst-15,-1.1030,0.0007,-1.6515
WBGene00001764,II,gst-16,-1.1770,0.0032,1.8524
WBGene00001765,II,gst-17,-1.3739,0.0037,-10.2540
WBGene00001766,II,gst-18,-1.4663,0.0036,-8.8148
WBGene00001767,II,gst-19,-1.6310,0.0007,-3.5357
WBGene00001768,II,gst-20,-1.4354,0.0001,0.0565
WBGene00001769,V,gst-21,-1.8158,0.0002,-1.8833
WBGene00001770,V,gst-22,1.0220,0.0127,-13.9915
WBGene00001771,V,gst-23,-0.5696,0.0061,-13.4931
WBGene00001772,II,gst-24,0.0639,0.0019,0.8215
WBGene00001773,I,gst-25,-0.0140,0.0019,0.5501
WBGene00001774,II,gst-26,-1.1404,0.0000,0.0164
WBGene00001775,II,gst-27,-1.0082,0.0001,0.0481
WBGene00001776,II,gst-28,-0.7422,0.0000,0.0241
WBGene00001777,II,gst-29,-1.2018,0.0002,0.1398
WBGene00001778,II,gst-30,-1.0886,0.0002,0.1014
WBGene00001779,II,gst-31,-1.6092,0.0007,0.3979
WBGene00001780,II,gst-32,-1.3333,0.0004,0.2304
WBGene00001781,V,gst-33,-1.7200,0.0002,-7.8457
WBGene00001782,II,gst-34,-1.6329,0.0002,0.1501
WBGene00001783,II,gst-35,-0.8937,0.0008,-0.7994
WBGene00001784,X,gst-36,0.2975,0.0006,-0.8731
WBGene00001785,V,gst-37,-1.6574,0.0003,-1.7940
WBGene00001786,V,gst-38,0.6732,0.0054,-1.1815
WBGene00001787,II,gst-39,0.0182,0.0002,0.1373
WBGene00001788,IV,gst-40,-1.1074,0.0000,-1.9469
WBGene00001789,V,gst-41,-2.1462,0.0011,-22.5714
WBGene00001790,X,gst-42,-1.5814,0.0003,-1.8147
WBGene00001791,I,gst-43,-0.6715,0.0004,0.2059
WBGene00001792,V,gst-44,-1.9984,0.0020,-26.6606
WBGene00001793,II,gsy-1,-1.0689,0.0002,-1.5188
WBGene00001794,IV,gta-1,-0.8398,0.0000,0.0082
WBGene00001795,IV,gtl-1,-1.8015,0.0001,-1.5347
WBGene00001796,IV,gtl-2,-1.0600,0.0001,-2.8289
WBGene00001803,X,lite-1,-0.4237,0.0003,-1.2082
WBGene00001804,X,gur-3,NA,0.0000,0.0000
WBGene00001805,II,gur-4,-0.1116,0.0004,-1.9027
WBGene00001806,II,gur-5,-1.6231,0.0000,0.0411
WBGene00001808,V,gut-2,NA,0.0000,0.0000
WBGene00001811,IV,haf-1,-0.3019,0.0019,-0.0327
WBGene00001812,II,haf-2,-1.1908,0.0000,0.0716
WBGene00001813,V,haf-3,0.1840,0.0009,-3.6470
WBGene00001814,I,haf-4,-1.2795,0.0001,-5.5352
WBGene00001815,III,hmt-1,-1.6683,0.0002,-3.3452
WBGene00001816,I,haf-6,-1.1612,0.0004,-1.2310
WBGene00001817,V,haf-7,-1.7936,0.0002,-0.8573
WBGene00001818,IV,haf-8,-1.3025,0.0012,0.3792
WBGene00001819,I,haf-9,-1.4361,0.0000,0.1198
WBGene00001820,IV,ham-1,-1.6807,0.0002,-7.4683
WBGene00001821,X,ham-2,-1.4980,0.0001,0.1546
WBGene00001823,III,hap-1,-1.0098,0.0001,-1.9401
WBGene00001824,X,hbl-1,-1.7909,0.0000,-3.9069
WBGene00001827,IV,hcf-1,-1.5252,0.0001,0.2008
WBGene00001828,X,hch-1,-1.3058,0.0005,-8.7848
WBGene00001829,V,hcp-1,-1.8397,0.0003,-3.7094
WBGene00001830,V,hcp-2,-1.4709,0.0005,-17.0079
WBGene00001831,III,hcp-3,NA,0.0000,0.0000
WBGene00001832,I,hcp-4,-1.5620,0.0005,-6.9307
WBGene00001833,I,hcp-6,-2.0818,0.0001,-1.5400
WBGene00001834,V,hda-1,-1.0066,0.0000,0.0483
WBGene00001835,II,hda-2,-1.1404,0.0000,0.0164
WBGene00001836,I,hda-3,-0.8732,0.0003,0.2765
WBGene00001837,X,hda-4,-1.4851,0.0001,-1.4559
WBGene00001838,II,hda-10,-0.8549,0.0014,-2.0995
WBGene00001839,IV,hdl-1,-0.8250,0.0007,-5.1030
WBGene00001840,II,hel-1,NA,0.0000,0.0000
WBGene00001841,X,hen-1,-0.8400,0.0000,0.0081
WBGene00001842,V,her-1,-0.9109,0.0001,0.0704
WBGene00001843,I,hgo-1,-1.0408,0.0000,-1.9473
WBGene00001844,X,hid-1,-1.6024,0.0001,0.1623
WBGene00001851,V,hif-1,-1.7746,0.0001,0.1286
WBGene00001852,V,hil-1,-0.9558,0.0003,0.2235
WBGene00001853,IV,hil-2,-0.8236,0.0016,-0.5008
WBGene00001854,X,hil-3,-1.1530,0.0005,-1.4504
WBGene00001855,V,hil-4,-1.6574,0.0009,-9.0377
WBGene00001856,I,hil-5,-1.7058,0.0002,-3.8630
WBGene00001857,V,hil-6,-1.4435,0.0006,0.0935
WBGene00001858,IV,hil-7,-1.1116,0.0031,-0.6711
WBGene00001859,I,hil-8,-1.3457,0.0001,-1.9632
WBGene00001860,I,him-1,-1.4943,0.0000,-1.8934
WBGene00001862,IV,him-3,-0.7912,0.0000,0.0162
WBGene00001863,X,him-4,-1.5129,0.0002,-12.7373
WBGene00001864,V,him-5,-0.9334,0.0006,-0.9317
WBGene00001865,IV,him-6,-1.9101,0.0000,0.1442
WBGene00001867,IV,him-8,-0.6711,0.0011,-1.2884
WBGene00001869,III,him-10,-0.8847,0.0002,0.3149
WBGene00001872,II,him-14,-0.3062,0.0009,-11.7322
WBGene00001874,V,him-17,-1.8665,0.0002,-11.0043
WBGene00001875,V,his-1,NA,0.0000,0.0000
WBGene00001876,V,his-2,NA,0.0000,0.0000
WBGene00001877,V,his-3,NA,0.0000,0.0000
WBGene00001878,V,his-4,-0.8400,0.0000,0.0081
WBGene00001879,V,his-5,NA,0.0000,0.0000
WBGene00001880,V,his-6,NA,0.0000,0.0000
WBGene00001881,V,his-7,NA,0.0000,0.0000
WBGene00001882,V,his-8,NA,0.0000,0.0000
WBGene00001883,II,his-9,NA,0.0000,0.0000
WBGene00001884,II,his-10,NA,0.0000,0.0000
WBGene00001885,II,his-11,NA,0.0000,0.0000
WBGene00001886,II,his-12,NA,0.0000,0.0000
WBGene00001887,II,his-13,NA,0.0000,0.0000
WBGene00001888,II,his-14,NA,0.0000,0.0000
WBGene00001889,II,his-15,NA,0.0000,0.0000
WBGene00001890,II,his-16,NA,0.0000,0.0000
WBGene00001891,V,his-17,NA,0.0000,0.0000
WBGene00001892,V,his-18,NA,0.0000,0.0000
WBGene00001893,V,his-19,NA,0.0000,0.0000
WBGene00001894,V,his-20,NA,0.0000,0.0000
WBGene00001895,V,his-21,NA,0.0000,0.0000
WBGene00001896,V,his-22,NA,0.0000,0.0000
WBGene00001898,X,his-24,-1.2671,0.0001,0.0485
WBGene00001899,II,his-25,NA,0.0000,0.0000
WBGene00001900,II,his-26,NA,0.0000,0.0000
WBGene00001901,V,his-27,NA,0.0000,0.0000
WBGene00001902,V,his-28,NA,0.0000,0.0000
WBGene00001903,IV,his-29,NA,0.0000,0.0000
WBGene00001904,IV,his-30,NA,0.0000,0.0000
WBGene00001905,IV,his-31,NA,0.0000,0.0000
WBGene00001906,IV,his-32,NA,0.0000,0.0000
WBGene00001907,IV,his-33,NA,0.0000,0.0000
WBGene00001908,IV,his-34,NA,0.0000,0.0000
WBGene00001909,V,his-35,NA,0.0000,0.0000
WBGene00001910,V,C50F4.6,-0.8400,0.0000,0.0081
WBGene00001911,V,his-37,NA,0.0000,0.0000
WBGene00001912,X,his-38,-1.1407,0.0001,0.0163
WBGene00001913,V,his-39,-0.5276,0.0005,-1.5063
WBGene00001914,X,his-40,NA,0.0000,0.0000
WBGene00001915,V,his-41,NA,0.0000,0.0000
WBGene00001916,II,his-42,-0.3464,0.0011,0.2680
WBGene00001917,II,his-43,NA,0.0000,0.0000
WBGene00001918,II,his-44,NA,0.0000,0.0000
WBGene00001919,IV,his-45,NA,0.0000,0.0000
WBGene00001920,IV,his-46,NA,0.0000,0.0000
WBGene00001921,IV,his-47,NA,0.0000,0.0000
WBGene00001922,IV,his-48,NA,0.0000,0.0000
WBGene00001923,V,his-49,NA,0.0000,0.0000
WBGene00001924,V,his-50,NA,0.0000,0.0000
WBGene00001925,V,his-51,NA,0.0000,0.0000
WBGene00001926,V,his-52,NA,0.0000,0.0000
WBGene00001927,V,his-53,NA,0.0000,0.0000
WBGene00001928,V,his-54,NA,0.0000,0.0000
WBGene00001929,IV,his-55,NA,0.0000,0.0000
WBGene00001930,IV,his-56,NA,0.0000,0.0000
WBGene00001931,IV,his-57,-0.8396,0.0000,0.0082
WBGene00001932,IV,his-58,NA,0.0000,0.0000
WBGene00001933,IV,his-59,NA,0.0000,0.0000
WBGene00001934,IV,his-60,NA,0.0000,0.0000
WBGene00001935,IV,his-61,NA,0.0000,0.0000
WBGene00001936,IV,his-62,-0.8400,0.0000,0.0081
WBGene00001937,IV,his-63,NA,0.0000,0.0000
WBGene00001938,IV,his-64,-1.1407,0.0001,0.0163
WBGene00001939,IV,his-65,NA,0.0000,0.0000
WBGene00001940,IV,his-66,NA,0.0000,0.0000
WBGene00001941,I,his-67,NA,0.0000,0.0000
WBGene00001942,I,his-68,NA,0.0000,0.0000
WBGene00001943,III,his-69,-1.1753,0.0004,0.1500
WBGene00001944,III,his-70,-0.9272,0.0002,0.0668
WBGene00001945,X,his-71,NA,0.0000,0.0000
WBGene00001946,III,his-72,2.6849,0.0118,-1.5829
WBGene00001947,II,his-73,-0.6761,0.0017,0.1847
WBGene00001948,II,hlh-1,-1.1708,0.0002,-1.5946
WBGene00001949,I,hlh-2,-1.0733,0.0000,0.0326
WBGene00001950,II,hlh-3,-1.4243,0.0005,-1.4806
WBGene00001951,III,hlh-4,-1.3196,0.0001,0.0325
WBGene00001952,II,hlh-6,-1.0253,0.0003,-1.7993
WBGene00001953,X,hlh-8,-0.4972,0.0003,-1.4825
WBGene00001954,V,hlh-10,-0.9127,0.0003,0.1516
WBGene00001955,III,hlh-11,NA,0.0000,0.0000
WBGene00001956,IV,hlh-12,NA,0.0000,0.0000
WBGene00001957,X,hlh-13,-0.8339,0.0000,0.0092
WBGene00001958,II,hlh-14,-0.8389,0.0000,0.0083
WBGene00001959,X,hlh-15,NA,0.0000,0.0000
WBGene00001960,I,hlh-16,NA,0.0000,0.0000
WBGene00001961,IV,hlh-17,-1.3103,0.0013,0.3861
WBGene00001962,X,hlh-19,-0.9778,0.0002,0.0550
WBGene00001964,II,hlh-25,-1.1642,0.0003,-1.7585
WBGene00001965,II,hlh-26,-0.8677,0.0011,0.0730
WBGene00001966,II,hlh-27,-1.3575,0.0002,0.1520
WBGene00001967,X,hlh-28,NA,0.0000,0.0000
WBGene00001968,X,hlh-29,NA,0.0000,0.0000
WBGene00001971,II,hmg-1.1,NA,0.0000,0.0000
WBGene00001972,III,hmg-1.2,-1.1404,0.0000,0.0164
WBGene00001973,I,hmg-3,-1.6416,0.0000,-3.8869
WBGene00001974,III,hmg-4,-0.4593,0.0002,-1.6236
WBGene00001975,IV,hmg-5,-1.0414,0.0001,0.0401
WBGene00001976,II,hmg-11,-1.1407,0.0000,0.0163
WBGene00001977,II,hmg-12,-0.4126,0.0010,-2.2470
WBGene00001978,V,hmp-1,-1.6170,0.0002,-0.8129
WBGene00001979,I,hmp-2,-1.5310,0.0000,0.0795
WBGene00001980,I,hmr-1,-1.7941,0.0003,-16.6871
WBGene00001981,X,hnd-1,0.8706,0.0008,-0.0258
WBGene00001983,IV,hoe-1,-1.8352,0.0001,-5.3482
WBGene00001984,X,hog-1,-0.5091,0.0010,-1.9837
WBGene00001985,I,hop-1,-0.9589,0.0005,-0.9032
WBGene00001986,V,hot-1,-1.4152,0.0009,0.5311
WBGene00001987,V,hot-2,-2.0286,0.0001,-1.8893
WBGene00001988,II,hot-3,0.0899,0.0016,-1.7778
WBGene00001989,III,hot-4,-0.2370,0.0002,-1.6723
WBGene00001990,I,hot-5,-0.8400,0.0000,0.0081
WBGene00001991,V,hot-6,NA,0.0000,0.0000
WBGene00001992,II,hot-7,-1.2167,0.0001,0.0637
WBGene00001993,III,hpd-1,-0.3813,0.0010,-3.0028
WBGene00001994,X,hpk-1,-1.7284,0.0001,-1.6654
WBGene00001995,X,hpl-1,-1.6235,0.0001,0.0409
WBGene00001996,III,hpl-2,1.4552,0.0007,-1.3117
WBGene00001997,III,hpr-9,-1.2053,0.0010,-0.7446
WBGene00001998,II,hpr-17,-1.5899,0.0010,1.2845
WBGene00001999,IV,hrp-1,-0.8394,0.0000,0.0082
WBGene00002000,I,hrp-2,-0.7114,0.0001,-3.4142
WBGene00002001,IV,hars-1,-1.6071,0.0003,0.4015
WBGene00002002,IV,hsb-1,NA,0.0000,0.0000
WBGene00002003,III,hse-5,-0.8919,0.0001,-1.5263
WBGene00002004,I,hsf-1,0.6767,0.0012,0.5749
WBGene00002005,IV,hsp-1,NA,0.0000,0.0000
WBGene00002007,X,hsp-3,-0.9778,0.0000,0.0550
WBGene00002008,II,hsp-4,-1.2705,0.0002,0.3197
WBGene00002010,V,hsp-6,-1.5249,0.0002,-1.4451
WBGene00002011,III,hsp-12.2,NA,0.0000,0.0000
WBGene00002012,IV,hsp-12.3,NA,0.0000,0.0000
WBGene00002013,IV,hsp-12.6,NA,0.0000,0.0000
WBGene00002015,V,hsp-16.1,NA,0.0000,0.0000
WBGene00002016,V,hsp-16.2,-1.6247,0.0002,0.0964
WBGene00002017,V,hsp-16.11,NA,0.0000,0.0000
WBGene00002018,V,hsp-16.41,-1.4134,0.0013,-0.1268
WBGene00002019,V,hsp-16.48,NA,0.0000,0.0000
WBGene00002020,V,hsp-16.49,NA,0.0000,0.0000
WBGene00002021,V,hsp-17,-0.8396,0.0000,0.0082
WBGene00002023,X,hsp-25,-0.8400,0.0000,0.0081
WBGene00002024,X,hsp-43,-0.9529,0.0003,-1.3044
WBGene00002025,III,hsp-60,-0.8392,0.0000,0.0083
WBGene00002026,I,hsp-70,-1.5803,0.0002,-4.7891
WBGene00002027,I,hsr-9,-1.7532,0.0002,-6.8074
WBGene00002028,IV,hst-1,-1.4459,0.0003,-6.5014
WBGene00002029,X,hst-2,-1.6611,0.0001,0.1357
WBGene00002030,II,hst-3.1,-1.4319,0.0001,0.0578
WBGene00002031,X,hst-6,-1.6142,0.0003,0.2809
WBGene00002032,IV,htp-1,-1.1407,0.0000,0.0163
WBGene00002033,IV,htp-2,-0.6551,0.0002,0.2068
WBGene00002034,I,htp-3,-1.7060,0.0001,0.2810
WBGene00002035,I,hum-1,-1.2825,0.0000,0.1113
WBGene00002036,V,hum-2,-1.8071,0.0001,-0.7431
WBGene00002037,X,hum-4,-1.8520,0.0003,-7.4591
WBGene00002038,III,hum-5,-1.2195,0.0003,-0.6453
WBGene00002039,X,hum-6,-1.3499,0.0003,-2.6304
WBGene00002040,I,hum-7,-1.7017,0.0000,0.2249
WBGene00002041,IV,hum-8,-0.9751,0.0006,-1.6502
WBGene00002042,I,hus-1,NA,0.0000,0.0000
WBGene00002043,IV,hyl-1,-1.4353,0.0001,0.0564
WBGene00002044,X,hyl-2,-0.8396,0.0000,0.0082
WBGene00002045,II,icd-1,NA,0.0000,0.0000
WBGene00002046,IV,icln-1,-0.4243,0.0006,-4.6178
WBGene00002047,I,icp-1,-0.3592,0.0007,-1.2184
WBGene00002048,III,ida-1,-1.3004,0.0004,-2.7008
WBGene00002050,X,ifa-1,-1.1407,0.0000,-1.9714
WBGene00002051,X,ifa-3,-0.8491,0.0004,0.0463
WBGene00002052,X,ifa-4,-1.6235,0.0000,0.0409
WBGene00002053,II,ifb-1,-0.7900,0.0000,0.0164
WBGene00002054,II,ifb-2,-0.8196,0.0007,-6.7032
WBGene00002055,V,ifc-1,-1.4903,0.0012,-6.9991
WBGene00002056,X,ifc-2,-1.8174,0.0002,-1.3308
WBGene00002057,X,ifd-1,-0.7753,0.0004,-2.6529
WBGene00002058,X,ifd-2,-1.3820,0.0001,0.1419
WBGene00002059,III,ife-1,-1.1076,0.0000,0.0243
WBGene00002060,X,ife-2,-0.8400,0.0000,0.0081
WBGene00002061,V,ife-3,-1.0157,0.0002,-1.8486
WBGene00002062,X,ife-4,-1.0098,0.0001,0.0475
WBGene00002063,II,ife-5,-0.3669,0.0012,-1.3590
WBGene00002064,III,iff-1,NA,0.0000,0.0000
WBGene00002065,II,iff-2,NA,0.0000,0.0000
WBGene00002066,II,ifg-1,-1.1878,0.0001,0.3654
WBGene00002067,X,ifp-1,0.5370,0.0021,-9.7831
WBGene00002068,II,ify-1,-1.1858,0.0003,0.2202
WBGene00002069,I,ikb-1,-1.6083,0.0001,-3.8707
WBGene00002070,I,ile-1,-1.2416,0.0000,0.0564
WBGene00002071,X,ile-2,-0.8853,0.0002,0.1542
WBGene00002072,V,ima-1,-1.7713,0.0001,0.1298
WBGene00002073,I,ima-2,-1.0421,0.0000,0.0399
WBGene00002074,IV,ima-3,-1.1404,0.0000,-1.9713
WBGene00002075,I,imb-1,-0.5518,0.0000,0.0544
WBGene00002076,II,imb-2,-1.3457,0.0000,0.0244
WBGene00002077,I,imb-3,-1.4580,0.0001,0.1677
WBGene00002078,V,xpo-1,-1.7797,0.0002,-6.8416
WBGene00002079,I,xpo-2,-0.8400,0.0000,0.0081
WBGene00002080,IV,xpo-3,-1.7166,0.0000,-1.8804
WBGene00002081,III,ina-1,-1.2617,0.0001,0.3076
WBGene00002083,III,inf-1,NA,0.0000,0.0000
WBGene00002084,IV,ins-1,NA,0.0000,0.0000
WBGene00002085,II,ins-2,-1.0869,0.0003,0.1019
WBGene00002086,II,ins-3,NA,0.0000,0.0000
WBGene00002087,II,ins-4,-0.6924,0.0001,0.0322
WBGene00002088,II,ins-5,-1.0414,0.0001,0.0401
WBGene00002089,II,ins-6,-0.7422,0.0001,0.0241
WBGene00002090,IV,ins-7,-0.9145,0.0002,-1.9181
WBGene00002091,IV,ins-8,-0.9778,0.0002,0.0550
WBGene00002092,X,ins-9,2.1124,0.0014,0.0614
WBGene00002093,V,ins-10,-1.1391,0.0003,-1.8839
WBGene00002094,II,ins-11,-1.3457,0.0001,-1.9632
WBGene00002095,II,ins-12,1.9658,0.0018,0.1775
WBGene00002096,II,ins-13,-1.4779,0.0002,-1.9466
WBGene00002097,II,ins-14,-0.7912,0.0001,0.0162
WBGene00002098,II,ins-15,-0.9759,0.0002,0.0554
WBGene00002099,III,ins-16,-1.5520,0.0011,-1.7352
WBGene00002100,III,ins-17,NA,0.0000,0.0000
WBGene00002101,I,ins-18,-0.7912,0.0001,0.0162
WBGene00002102,II,ins-19,0.5431,0.0058,0.9028
WBGene00002103,II,ins-20,-1.0644,0.0004,0.1092
WBGene00002104,III,ins-21,-0.9778,0.0002,0.0550
WBGene00002105,III,ins-22,-0.8396,0.0000,0.0082
WBGene00002106,III,ins-23,-0.8400,0.0000,0.0081
WBGene00002107,I,ins-24,-1.0077,0.0028,-7.9741
WBGene00002108,I,ins-25,NA,0.0000,0.0000
WBGene00002109,I,ins-26,-0.7909,0.0015,0.4716
WBGene00002110,I,ins-27,-1.1407,0.0001,0.0163
WBGene00002111,I,ins-28,-1.1076,0.0001,0.0243
WBGene00002112,I,ins-29,0.4738,0.0018,-2.6174
WBGene00002113,I,ins-30,0.1181,0.0035,-1.2736
WBGene00002114,II,ins-31,-1.7737,0.0003,-1.7732
WBGene00002115,II,ins-32,-0.2069,0.0013,0.0323
WBGene00002116,I,ins-33,-1.3496,0.0002,0.0875
WBGene00002117,IV,ins-34,-1.1490,0.0004,-1.8330
WBGene00002118,V,ins-35,-1.0961,0.0022,-10.4385
WBGene00002119,I,ins-36,-0.3444,0.0032,0.5859
WBGene00002120,II,ins-37,-1.0168,0.0019,0.6702
WBGene00002121,II,ins-38,NA,0.0000,0.0000
WBGene00002123,X,inx-1,-0.6924,0.0000,0.0322
WBGene00002124,X,inx-2,-1.0308,0.0003,-1.6997
WBGene00002125,X,inx-3,-1.3457,0.0000,0.0244
WBGene00002127,X,inx-5,-0.0904,0.0002,0.2430
WBGene00002128,IV,inx-6,0.8992,0.0004,-0.0446
WBGene00002129,IV,inx-7,-1.0707,0.0001,0.1052
WBGene00002130,IV,inx-8,-1.2681,0.0000,0.0481
WBGene00002131,IV,inx-9,-1.5130,0.0001,-1.9009
WBGene00002132,V,inx-10,-0.9454,0.0001,-1.5802
WBGene00002133,V,inx-11,-1.4896,0.0001,0.2228
WBGene00002134,I,inx-12,-1.1404,0.0000,0.0164
WBGene00002135,I,inx-13,-0.0592,0.0004,-0.5994
WBGene00002136,I,inx-14,-1.1407,0.0000,0.0163
WBGene00002137,I,inx-15,-0.4370,0.0004,-2.5986
WBGene00002138,I,inx-16,-1.1934,0.0002,0.2045
WBGene00002139,I,inx-17,-0.8398,0.0000,-1.9794
WBGene00002140,IV,inx-18,NA,0.0000,0.0000
WBGene00002141,I,inx-19,NA,0.0000,0.0000
WBGene00002142,I,inx-20,-1.5289,0.0001,0.1409
WBGene00002143,I,inx-21,-1.1072,0.0000,0.0244
WBGene00002144,I,inx-22,-0.7531,0.0003,-1.6688
WBGene00002146,X,ipp-5,-0.2727,0.0003,-2.9298
WBGene00002147,II,ire-1,-0.6913,0.0006,-2.5252
WBGene00002148,V,gon-14,-1.8919,0.0001,0.3035
WBGene00002149,X,irk-1,0.8330,0.0003,-0.1509
WBGene00002150,X,irk-2,-0.8883,0.0001,-1.6623
WBGene00002151,X,irk-3,-1.0098,0.0000,0.0475
WBGene00002152,IV,iars-1,-1.6079,0.0003,-7.8845
WBGene00002153,I,iars-2,-1.6201,0.0001,-1.4845
WBGene00002162,IV,isp-1,NA,0.0000,0.0000
WBGene00002163,X,ist-1,-1.8723,0.0003,-0.6097
WBGene00002169,III,isw-1,-0.0334,0.0005,-6.3638
WBGene00002173,IV,itr-1,-1.9550,0.0000,-1.8738
WBGene00002174,I,itx-1,-1.5708,0.0007,2.0193
WBGene00002175,IV,jac-1,-1.3577,0.0006,-1.6916
WBGene00002176,II,jip-1,-2.0767,0.0001,-1.7910
WBGene00002177,X,jkk-1,-1.1646,0.0001,0.0794
WBGene00002178,IV,jnk-1,-1.1407,0.0000,0.0163
WBGene00002179,I,jph-1,-1.0416,0.0000,0.0402
WBGene00002180,IV,jtr-1,-1.2675,0.0001,0.0485
WBGene00002181,I,kal-1,-1.5060,0.0004,-1.2006
WBGene00002182,III,kap-1,-1.0253,0.0004,0.6790
WBGene00002183,II,kat-1,-1.1404,0.0000,-3.9589
WBGene00002184,II,kel-1,-1.1986,0.0005,-0.8951
WBGene00002185,III,kel-3,-1.3920,0.0000,0.0723
WBGene00002186,III,kel-10,-1.4055,0.0002,-3.5961
WBGene00002187,IV,kgb-1,-1.1402,0.0000,0.0164
WBGene00002188,IV,kgb-2,-1.2529,0.0009,-0.7977
WBGene00002189,I,kin-1,-1.3044,0.0002,-1.5017
WBGene00002190,X,kin-2,-1.0532,0.0003,0.2601
WBGene00002191,I,kin-3,-1.5006,0.0000,0.0326
WBGene00002192,IV,kin-4,-2.0067,0.0002,-8.1122
WBGene00002193,IV,kin-5,-1.6789,0.0001,-1.8029
WBGene00002194,II,kin-6,-1.8184,0.0002,-3.6378
WBGene00002195,X,kin-9,-0.8785,0.0002,-1.5276
WBGene00002196,I,kin-10,NA,0.0000,0.0000
WBGene00002198,I,kin-14,-1.2258,0.0002,-1.4622
WBGene00002199,II,kin-15,-1.8381,0.0004,-5.0924
WBGene00002200,II,kin-16,-1.3219,0.0001,-1.8105
WBGene00002201,III,kin-18,-1.0736,0.0000,0.0324
WBGene00002202,III,kin-19,NA,0.0000,0.0000
WBGene00002203,X,kin-20,-0.7887,0.0004,0.5088
WBGene00002204,IV,kin-21,-1.0030,0.0004,-2.4943
WBGene00002205,I,kin-23,-1.4762,0.0012,-9.8897
WBGene00002206,IV,kin-24,-1.1983,0.0001,0.2177
WBGene00002207,X,sid-3,-0.8797,0.0007,-2.2901
WBGene00002208,IV,kin-26,-1.4180,0.0002,-1.5494
WBGene00002210,X,kin-29,-1.6265,0.0002,-1.3718
WBGene00002211,V,kin-30,-2.3365,0.0011,-36.9967
WBGene00002213,I,kin-32,-1.4333,0.0003,-2.1678
WBGene00002214,IV,klc-1,-0.7961,0.0001,-3.4364
WBGene00002215,V,klc-2,-1.4184,0.0002,-1.7294
WBGene00002216,II,klp-3,-0.3915,0.0006,0.1840
WBGene00002217,X,klp-4,-1.6710,0.0001,-1.6243
WBGene00002218,III,klp-6,-1.3815,0.0002,-3.4143
WBGene00002219,III,klp-7,-0.9568,0.0002,0.4560
WBGene00002220,X,gcc-1,-1.6920,0.0001,0.1188
WBGene00002222,IV,klp-11,-1.2846,0.0003,-5.5794
WBGene00002223,IV,klp-12,-2.1337,0.0001,-5.4425
WBGene00002224,X,klp-13,-1.4293,0.0003,-4.6792
WBGene00002225,I,klp-15,-1.4341,0.0001,-1.4915
WBGene00002226,I,klp-16,-1.8354,0.0001,-1.7975
WBGene00002227,II,klp-17,-0.8765,0.0001,0.0793
WBGene00002228,IV,klp-18,-1.5795,0.0001,-3.8484
WBGene00002229,III,klp-19,-1.7314,0.0002,-6.9398
WBGene00002230,III,klp-20,-1.1944,0.0004,-3.1284
WBGene00002231,III,knl-1,-0.9632,0.0003,-5.0644
WBGene00002232,I,kpc-1,0.2161,0.0002,-0.1153
WBGene00002233,X,kqt-1,-1.3282,0.0000,0.0952
WBGene00002234,X,kqt-2,-1.7288,0.0003,-1.3516
WBGene00002235,II,kqt-3,-1.0302,0.0003,-2.1181
WBGene00002238,II,kars-1,-1.4566,0.0000,0.0487
WBGene00002239,X,ksr-1,-0.5298,0.0003,-1.8377
WBGene00002240,I,ksr-2,-1.6238,0.0000,-1.9469
WBGene00002241,V,kup-1,-0.8400,0.0000,0.0081
WBGene00002242,X,kvs-1,-0.3837,0.0003,-1.7120
WBGene00002243,IV,lad-2,-0.9566,0.0006,-2.2881
WBGene00002244,III,laf-1,-1.7247,0.0000,0.0491
WBGene00002245,IV,lag-1,-1.5161,0.0002,-3.1172
